Player_Name,Age,Height,Weight,Forward,Goalkeeper,Midfielder,Attaking_Midfielder,Center,Defender,Appearances,Substitute(Appearances),Playtime(Minutes),Goals,Assists,Yellow_Cards,Red_Cards,Set_piece_Goal,Passing_Percentage,AerialsWon,Man_Of_The_Matches,Rating
Brian Araujo ,23,0.64,0.618181818,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,6
Costinha ,23,0.5,0.581818182,0,0,1,0,0,1,33,0,2806,3,3,5,0,0.8,73.6,1.5,3,6.98
Aderllan Santos ,34,0.74,0.709090909,0,0,0,0,1,1,32,0,2824,1,0,3,1,0.7,87.5,2.9,2,6.9
Guga ,25,0.24,0.363636364,0,0,1,1,1,0,33,0,2912,2,2,3,1,1.5,87.3,0.2,1,6.85
Abdul-Aziz Yakubu ,24,0.5,0.6,1,0,0,0,0,0,16,1,1292,7,3,2,0,1.3,70.2,0.9,1,6.74
Jhonatan ,32,0.66,0.690909091,0,1,0,0,0,0,32,0,2880,0,0,3,0,0,67.2,0.1,2,6.72
Patrick William ,26,0.58,0.654545455,0,0,0,0,1,1,23,3,1906,2,1,7,0,0.7,83.1,1.3,1,6.66
Josue Sa ,31,0.62,0.654545455,0,0,1,0,1,1,17,1,1355,0,1,5,0,0.1,86,1,1,6.61
Pedro Amaral ,25,0.44,0.509090909,0,0,1,0,0,1,11,1,989,1,2,5,0,0.6,78.2,0.2,0,6.6
Fabio Ronaldo ,22,0.38,0.563636364,0,0,1,0,0,0,22,9,1982,3,3,3,0,0.9,82.2,0.3,1,6.57
Renato Pantalon ,25,0.76,0.763636364,0,0,0,0,1,1,21,1,1797,1,0,7,1,0.2,84.4,1.3,1,6.55
Joao Graca ,28,0.42,0.454545455,0,0,1,1,1,0,12,7,1154,1,1,7,0,0.7,82.1,0.7,1,6.54
Emmanuel Boateng ,27,0.38,0.472727273,1,0,1,1,1,0,21,7,1873,6,0,5,0,1.7,72.8,1.9,0,6.51
Andreas Samaris ,34,0.66,0.709090909,0,0,1,0,1,1,19,5,1415,0,1,6,0,0.6,83.9,0.6,1,6.47
Andre Pereira ,28,0.64,0.709090909,1,0,1,1,0,0,12,9,1003,1,3,5,0,1,79.6,1,1,6.43
Miguel Nobrega ,23,0.38,0.563636364,0,0,0,0,1,1,6,5,561,0,1,0,0,0.3,82.9,1.1,0,6.4
Paulo Vitor ,24,0.36,0.436363636,0,0,1,0,0,0,11,14,1104,1,1,3,0,0.9,83.2,0.1,0,6.4
Joca ,27,0.22,0.327272727,0,0,1,1,1,0,6,0,422,0,1,1,0,1.3,82,0.3,0,6.35
Miguel Baeza ,23,0.42,0.418181818,0,0,1,1,1,0,14,8,1082,0,1,0,0,0.6,81.8,0.3,0,6.29
Hernani ,31,0.46,0.509090909,0,0,1,1,0,0,5,16,664,2,1,1,0,1.3,66.4,0,0,6.28
Jorge Karse ,18,0.38,0.327272727,0,0,0,0,0,1,0,2,16,0,0,0,0,0.5,81.8,0,0,6.27
Vitor Gomes ,35,0.52,0.6,0,0,1,0,1,0,7,13,754,0,1,3,0,0.2,81.7,0.2,0,6.27
