Player_Name,Position,Height(CM),Weight(KG),Appearance,Substitute(Appearance),Playtime(Minutes),Goals,Assists,Yellow_Cards,Red_Cards,Set_Piece_Goal,Passing_Percentage,AerialsWon,Man_Of_The_Matches,Team,Tournament,Rating
Kevin De Bruyne ,Midfielder,181,68,28,4,2425,7,16,1,0,2,80.8,0.4,9,Manchester City,Premier League,7.58
Stefan Ortega ,Goalkeeper,185,88,3,0,270,0,0,0,0,0,85.4,0.3,1,Manchester City,Premier League,7.56
Erling Haaland ,Forward,194,88,33,2,2779,36,8,5,0,3.5,74.8,1.4,6,Manchester City,Premier League,7.54
Jack Grealish ,Attaking Midfielder,175,76,23,5,2064,5,7,4,0,1.5,87.6,0.5,3,Manchester City,Premier League,7.33
Rodri ,Defender,190,82,34,2,2921,2,6,5,0,1.4,91.3,2,3,Manchester City,Premier League,7.26
Phil Foden ,Attaking Midfielder,171,70,22,10,1844,11,5,1,0,1.4,86.1,0.6,3,Manchester City,Premier League,7.13
Ilkay Gundogan ,Midfielder,180,80,27,4,2359,8,4,0,0,1.7,88.2,0.6,2,Manchester City,Premier League,7.11
Joao Cancelo ,Defender,182,74,16,1,1279,2,1,3,1,1,86.8,1.6,1,Manchester City,Premier League,7.04
Riyad Mahrez ,Attaking Midfielder,179,67,22,8,1924,5,10,2,0,1.4,86.8,0.3,2,Manchester City,Premier League,7.01
Bernardo Silva ,Midfielder,173,64,24,10,2203,4,5,5,0,0.7,89.1,0.1,0,Manchester City,Premier League,6.8
John Stones ,Defender,188,80,21,2,1849,2,2,2,0,0.5,93.2,1.4,0,Manchester City,Premier League,6.8
Ruben Dias ,Defender,186,76,22,4,1999,0,0,3,0,0.4,92.7,1.7,0,Manchester City,Premier League,6.79
Nathan Ake ,Defender,180,75,22,4,1876,1,0,2,0,0.3,91.1,1.4,0,Manchester City,Premier League,6.75
Shea Charles ,Midfielder,170,75,0,1,27,0,0,0,0,0,91.7,2,0,Manchester City,Premier League,6.71
Julian Alvarez ,Attaking Midfielder,170,71,13,18,1454,9,0,0,0,1.5,82.7,0.3,2,Manchester City,Premier League,6.7
Aymeric Laporte ,Defender,189,86,11,1,994,0,0,0,0,0.8,93.1,2,0,Manchester City,Premier League,6.69
Manuel Akanji ,Defender,186,91,24,5,2287,0,1,2,0,0.5,93.3,0.8,0,Manchester City,Premier League,6.62
Rico Lewis ,Defender,169,75,10,4,905,0,0,1,0,0.4,92.2,0,0,Manchester City,Premier League,6.56
Kyle Walker ,Defender,178,80,22,5,1957,0,0,3,0,0.2,89.5,0.9,0,Manchester City,Premier League,6.54
Ederson ,Goalkeeper,188,86,35,0,3150,0,1,3,0,0,84.4,0.3,0,Manchester City,Premier League,6.44
Cole Palmer ,Attaking Midfielder,182,74,2,12,359,0,1,1,0,0.8,88.6,0.1,0,Manchester City,Premier League,6.33
Kalvin Phillips ,Defender,178,72,2,10,291,0,0,1,0,0.5,92.6,0.4,0,Manchester City,Premier League,6.27
Sergio Gomez ,Defender,171,68,2,10,341,0,1,0,0,0.6,89.2,0.3,0,Manchester City,Premier League,6.24
Maximo Perrone ,Defender,177,68,0,1,18,0,0,0,0,0,90,0,0,Manchester City,Premier League,5.95
Gabriel Jesus ,Attaking Midfielder,175,73,24,2,2075,11,6,6,0,3,81.5,1.7,4,Arsenal,Premier League,7.42
Bukayo Saka ,Defender,178,72,37,1,3195,14,11,6,0,2.3,80.9,0.4,4,Arsenal,Premier League,7.4
Martin Odegaard ,Attaking Midfielder,178,68,37,0,3149,15,7,4,0,2.5,84,0.4,7,Arsenal,Premier League,7.29
Gabriel Martinelli ,Attaking Midfielder,178,75,34,2,2806,15,5,3,0,2.2,82.4,0.4,4,Arsenal,Premier League,7.25
Thomas Partey ,Defender,185,77,28,5,2487,3,0,5,0,0.8,88,1.1,1,Arsenal,Premier League,7.06
Granit Xhaka ,Defender,186,80,36,1,3004,7,7,5,0,1.1,86.5,1,1,Arsenal,Premier League,6.98
Gabriel Magalhaes ,Defender,190,78,38,0,3411,3,0,5,0,0.8,89.7,2.6,2,Arsenal,Premier League,6.86
Oleksandr Zinchenko ,Defender,175,64,26,1,2135,1,2,3,0,1,87.8,1.9,1,Arsenal,Premier League,6.86
Leandro Trossard ,Midfielder,172,61,10,10,930,1,10,0,0,0.9,84.3,0.1,2,Arsenal,Premier League,6.84
Ben White ,Defender,186,76,36,2,3068,2,5,5,0,0.3,86.6,0.9,0,Arsenal,Premier League,6.78
William Saliba ,Defender,192,92,27,0,2416,2,1,4,0,0.2,91,2,1,Arsenal,Premier League,6.77
Reiss Nelson ,Midfielder,175,71,0,11,204,3,2,0,0,1.1,90.7,0.2,1,Arsenal,Premier League,6.68
Aaron Ramsdale ,Goalkeeper,188,88,38,0,3420,0,0,1,0,0,63.4,0.2,1,Arsenal,Premier League,6.63
Jorginho ,Defender,180,65,9,5,855,0,1,0,0,0.4,87.6,0.7,0,Arsenal,Premier League,6.6
Jakub Kiwior ,Defender,189,75,5,2,427,1,0,0,0,0.1,86.2,1.1,0,Arsenal,Premier League,6.6
Eddie Nketiah ,Forward,175,72,9,21,1073,4,1,3,0,1.4,81.6,0.3,1,Arsenal,Premier League,6.44
Takehiro Tomiyasu ,Defender,187,70,6,15,656,0,1,2,0,0.1,82.5,0.8,0,Arsenal,Premier League,6.34
Fabio Vieira ,Attaking Midfielder,170,58,3,19,502,1,2,0,0,0.7,84.6,0.1,0,Arsenal,Premier League,6.31
Rob Holding ,Defender,189,81,6,8,562,1,0,0,0,0.4,86.8,1.6,0,Arsenal,Premier League,6.31
Albert Sambi Lokonga ,Defender,173,67,2,4,196,0,0,0,0,0,94.3,0.5,0,Arsenal,Premier League,6.28
Kieran Tierney ,Defender,178,70,6,21,779,0,1,0,0,0.3,78.1,0.2,0,Arsenal,Premier League,6.25
Emile Smith Rowe ,Attaking Midfielder,182,79,0,12,164,0,2,0,0,0.3,91.3,0,0,Arsenal,Premier League,6.18
Mohamed Elneny ,Defender,179,72,1,4,111,0,0,0,0,0,95,0,0,Arsenal,Premier League,6.07
Cedric Soares ,Defender,172,67,0,2,28,0,0,0,0,0,90,0,0,Arsenal,Premier League,6.07
Ethan Nwaneri ,Midfielder,165,75,0,1,1,0,0,0,0,0,0,0,0,Arsenal,Premier League,6
Marquinhos ,Attaking Midfielder,175,85,0,1,1,0,0,0,0,0,66.7,0,0,Arsenal,Premier League,6
Bruno Fernandes ,Midfielder,179,69,37,0,3320,8,8,6,0,2.5,77.7,0.5,6,Manchester United,Premier League,7.44
Casemiro ,Defender,185,84,24,4,2126,4,3,7,2,1.2,78.5,2,5,Manchester United,Premier League,7.17
Marcus Rashford ,Attaking Midfielder,180,70,32,3,2890,17,5,2,0,3.1,78.7,0.6,6,Manchester United,Premier League,7.08
Diogo Dalot ,Defender,183,76,24,2,2155,1,2,6,0,0.8,80.5,1.5,2,Manchester United,Premier League,6.96
Aaron Wan-Bissaka ,Defender,183,72,16,3,1436,0,0,2,0,0.5,83.5,0.7,0,Manchester United,Premier League,6.93
Luke Shaw ,Defender,185,75,30,1,2558,1,2,8,0,0.5,86,1.5,1,Manchester United,Premier League,6.9
Lisandro Martinez ,Defender,175,77,24,3,2117,1,0,6,0,0.4,87.3,1.2,0,Manchester United,Premier League,6.84
Jadon Sancho ,Attaking Midfielder,180,76,21,5,1699,6,3,0,0,0.8,85,0.1,0,Manchester United,Premier League,6.82
Antony ,Attaking Midfielder,174,63,23,2,1819,4,2,5,0,2.9,82.2,0.2,1,Manchester United,Premier League,6.82
Victor Lindelof ,Defender,187,80,14,6,1361,0,0,1,0,0.2,93.2,1.7,0,Manchester United,Premier League,6.7
Christian Eriksen ,Midfielder,182,76,25,3,2062,1,8,3,0,1.4,84.6,0.3,1,Manchester United,Premier League,6.7
David de Gea ,Goalkeeper,192,76,38,0,3420,0,0,0,0,0,68.3,0.1,1,Manchester United,Premier League,6.67
Raphael Varane ,Defender,191,81,22,2,1917,0,0,1,0,0.3,86.5,1.8,0,Manchester United,Premier League,6.64
Marcel Sabitzer ,Midfielder,178,76,7,4,628,0,1,1,0,1,79.1,1.2,0,Manchester United,Premier League,6.64
Tyrell Malacia ,Defender,170,67,14,8,1395,0,0,6,0,0.2,87.4,0.4,0,Manchester United,Premier League,6.64
Anthony Martial ,Attaking Midfielder,181,76,11,10,980,6,2,0,0,1.3,81.6,0.5,0,Manchester United,Premier League,6.59
Harry Maguire ,Defender,194,90,8,8,762,0,0,4,0,0.2,85.4,1.6,0,Manchester United,Premier League,6.59
Scott McTominay ,Defender,193,88,10,14,1151,1,0,8,0,0.5,82.9,1.4,1,Manchester United,Premier League,6.55
Fred ,Midfielder,169,64,12,23,1235,2,2,6,0,0.7,80.7,0.3,0,Manchester United,Premier League,6.48
Cristiano Ronaldo ,Midfielder,187,83,4,6,520,1,0,2,0,2.5,76.6,1.5,1,Manchester United,Premier League,6.39
Wout Weghorst ,Forward,197,84,10,7,797,0,1,1,0,0.8,72.9,0.9,0,Manchester United,Premier League,6.38
Alejandro Garnacho ,Attaking Midfielder,180,80,5,14,563,3,2,3,0,1.3,81.1,0.2,0,Manchester United,Premier League,6.35
Anthony Elanga ,Attaking Midfielder,178,70,5,11,424,0,1,0,0,0.6,76,0.5,0,Manchester United,Premier League,6.26
Donny van de Beek ,Midfielder,184,76,2,5,166,0,0,0,0,0.3,78,0.4,0,Manchester United,Premier League,6.18
Facundo Pellistri ,Attaking Midfielder,175,69,0,4,60,0,0,0,0,0,93.3,0,0,Manchester United,Premier League,6.18
Kobbie Mainoo ,Midfielder,175,75,0,1,10,0,0,0,0,0,87.5,0,0,Manchester United,Premier League,6.11
Kieran Trippier ,Defender,178,71,38,0,3348,1,7,5,0,0.4,76,1.3,8,Newcastle,Premier League,7.41
Joelinton ,Attaking Midfielder,186,81,30,2,2664,6,1,12,0,1.6,82.3,2.1,3,Newcastle,Premier League,7.24
Bruno Guimaraes ,Defender,182,74,32,0,2735,4,5,7,0,0.9,84.6,0.6,1,Newcastle,Premier League,7.21
Alexander Isak ,Attaking Midfielder,192,77,17,5,1527,10,1,3,0,2.3,77.8,1,1,Newcastle,Premier League,7.06
Fabian Schar ,Defender,186,84,36,0,3209,1,3,7,0,1.6,77.7,3.1,2,Newcastle,Premier League,7.05
Martin Dubravka ,Goalkeeper,190,83,1,1,156,0,0,0,0,0,87.5,0,0,Newcastle,Premier League,6.98
Callum Wilson ,Forward,180,66,21,10,1887,18,5,4,0,2.4,67.7,0.7,4,Newcastle,Premier League,6.92
Miguel Almiron ,Attaking Midfielder,174,70,29,5,2508,11,2,2,0,2,84.5,0.2,2,Newcastle,Premier League,6.91
Joe Willock ,Midfielder,179,71,31,4,2578,3,6,1,0,1.7,85.1,0.5,2,Newcastle,Premier League,6.88
Allan Saint-Maximin ,Attaking Midfielder,173,67,12,13,1119,1,5,1,0,1.1,75.1,0.1,2,Newcastle,Premier League,6.8
Dan Burn ,Defender,198,87,35,3,3117,1,0,6,0,0.6,78.6,2.2,1,Newcastle,Premier League,6.77
Sven Botman ,Defender,193,81,35,1,3129,0,0,2,0,0.6,86.8,2.1,0,Newcastle,Premier League,6.74
Nick Pope ,Goalkeeper,191,76,37,0,3262,0,0,3,1,0,58.8,0.1,2,Newcastle,Premier League,6.7
Sean Longstaff ,Defender,180,65,28,5,2517,1,4,2,0,1,82.8,0.7,0,Newcastle,Premier League,6.64
Jacob Murphy ,Defender,179,74,14,22,1246,4,2,0,0,0.8,71.8,0.1,0,Newcastle,Premier League,6.43
Matt Targett ,Defender,183,70,6,11,603,0,0,1,0,0.1,81.7,0.6,0,Newcastle,Premier League,6.39
Lewis Miley ,Midfielder,170,75,0,1,16,0,0,0,0,1,83.3,0,0,Newcastle,Premier League,6.33
Elliot Anderson ,Attaking Midfielder,179,75,3,19,396,0,1,0,0,0.5,77.8,0.5,0,Newcastle,Premier League,6.3
Chris Wood ,Forward,191,81,4,14,440,2,0,0,0,0.5,62.3,1.3,0,Newcastle,Premier League,6.29
Anthony Gordon ,Attaking Midfielder,183,72,4,12,482,1,0,1,0,0.5,85.9,0,0,Newcastle,Premier League,6.25
Ryan Fraser ,Midfielder,163,70,3,5,311,0,0,1,0,0.8,76.9,0.1,0,Newcastle,Premier League,6.24
Javier Manquillo ,Defender,178,76,0,4,34,0,0,0,0,0,84,0,0,Newcastle,Premier League,6.19
Matt Ritchie ,Defender,172,76,0,7,35,0,0,0,0,0,79.3,0.1,0,Newcastle,Premier League,6.12
Jamaal Lascelles ,Defender,188,89,4,5,217,0,0,4,0,0.2,84.9,0.7,0,Newcastle,Premier League,6.04
Jonjo Shelvey ,Midfielder,184,80,0,3,34,0,0,0,0,0,73.1,0,0,Newcastle,Premier League,6.03
Emil Krafth ,Defender,184,83,0,1,1,0,0,0,0,0,0,0,0,Newcastle,Premier League,6
Jamal Lewis ,Defender,178,70,0,2,9,0,0,0,0,0,85.7,0,0,Newcastle,Premier League,5.95
Mohamed Salah ,Attaking Midfielder,175,71,37,1,3297,19,12,2,0,3.3,78.1,0.2,3,Liverpool,Premier League,7.16
Trent Alexander-Arnold ,Defender,175,72,34,3,2932,2,9,5,0,1.1,78.7,0.5,2,Liverpool,Premier League,7.11
Cody Gakpo ,Attaking Midfielder,193,76,17,4,1465,7,2,0,0,1.9,78.4,1.2,0,Liverpool,Premier League,7.06
Luis Diaz ,Attaking Midfielder,178,65,11,6,997,4,2,2,0,1.6,82.7,0.5,2,Liverpool,Premier League,6.97
Virgil van Dijk ,Defender,195,92,32,0,2836,3,1,3,0,0.9,90.5,3.1,2,Liverpool,Premier League,6.97
Alisson ,Goalkeeper,193,91,37,0,3330,0,1,1,0,0,83.4,0.3,2,Liverpool,Premier League,6.92
Roberto Firmino ,Midfielder,181,76,13,12,1213,11,4,0,0,1.6,79.9,0.6,2,Liverpool,Premier League,6.85
Thiago Alcantara ,Midfielder,174,70,14,4,1256,0,0,2,0,0.6,86.5,0.8,1,Liverpool,Premier League,6.82
Darwin Nunez ,Attaking Midfielder,187,81,19,10,1701,9,3,1,1,2.9,67.1,1.2,2,Liverpool,Premier League,6.79
Ibrahima Konate ,Defender,194,95,17,1,1551,0,0,5,0,0.6,87.2,2.6,0,Liverpool,Premier League,6.79
Andrew Robertson ,Defender,178,64,29,5,2588,0,8,3,0,0.4,84.2,0.6,0,Liverpool,Premier League,6.78
Diogo Jota ,Attaking Midfielder,178,68,12,10,1133,7,4,2,0,1.6,75.9,0.8,1,Liverpool,Premier League,6.74
Fabinho ,Defender,188,78,31,5,2678,0,2,11,0,0.5,88.7,0.8,0,Liverpool,Premier League,6.71
Joe Gomez ,Defender,188,77,15,6,1461,0,0,3,0,0.3,86.6,2.2,0,Liverpool,Premier League,6.69
Curtis Jones ,Attaking Midfielder,185,75,12,6,1040,3,1,2,0,0.8,91.2,0.2,1,Liverpool,Premier League,6.67
Caoimhin Kelleher ,Goalkeeper,188,74,1,0,90,0,0,0,0,0,94.1,0,0,Liverpool,Premier League,6.58
Jordan Henderson ,Defender,182,78,23,12,2075,0,2,2,0,0.7,84.9,0.3,0,Liverpool,Premier League,6.57
Stefan Bajcetic ,Midfielder,185,77,6,5,527,1,0,2,0,0.5,78.7,0.8,0,Liverpool,Premier League,6.54
Harvey Elliott ,Attaking Midfielder,170,64,18,14,1615,1,2,2,0,1.1,82.9,0.1,0,Liverpool,Premier League,6.53
Joel Matip ,Defender,195,90,12,2,1093,1,0,3,0,0.4,86.7,1.8,1,Liverpool,Premier League,6.5
Konstantinos Tsimikas ,Defender,179,77,9,11,769,0,4,3,0,0.4,85.4,0.4,0,Liverpool,Premier League,6.48
Nathaniel Phillips ,Defender,190,84,1,1,66,0,0,0,0,0.5,86.6,2,0,Liverpool,Premier League,6.4
Fabio Carvalho ,Attaking Midfielder,170,62,4,9,343,2,0,0,0,0.8,82.7,0.3,0,Liverpool,Premier League,6.37
James Milner ,Defender,175,70,7,24,893,0,1,2,0,0.2,81.4,0.4,0,Liverpool,Premier League,6.34
Alex Oxlade Chamberlain ,Midfielder,180,70,4,5,335,1,0,0,0,0.8,73,0.1,0,Liverpool,Premier League,6.3
Naby Keita ,Midfielder,172,64,3,5,294,0,0,1,0,1.3,78,0.4,0,Liverpool,Premier League,6.14
Ben Doak ,Forward,170,75,0,2,24,0,0,0,0,0,71.4,0,0,Liverpool,Premier League,6.1
Bobby Clark ,Midfielder,178,75,0,1,7,0,0,0,0,0,100,0,0,Liverpool,Premier League,6.04
Solly March ,Midfielder,180,88,31,2,2728,7,7,2,0,2.2,78.6,0.9,6,Brighton,Premier League,7.38
Alexis Mac Allister ,Midfielder,176,69,31,4,2886,10,2,8,0,2.5,87.2,0.7,4,Brighton,Premier League,7.05
Kaoru Mitoma ,Midfielder,178,72,24,9,2318,7,5,0,0,1.6,83.3,0.5,4,Brighton,Premier League,7
Pascal Gross ,Defender,181,78,37,0,3246,9,8,7,0,1.1,86,0.3,2,Brighton,Premier League,7
Leandro Trossard ,Midfielder,172,61,16,0,1326,7,2,1,0,2.4,74.4,0.4,2,Brighton,Premier League,6.99
Moises Caicedo ,Defender,178,73,34,3,3141,1,1,10,0,0.8,88.8,1,0,Brighton,Premier League,6.92
Pervis Estupinan ,Defender,175,73,31,4,2683,1,5,4,0,0.8,84,1,2,Brighton,Premier League,6.79
Julio Enciso ,Forward,168,64,7,13,802,4,2,1,0,1.9,72.7,0.3,1,Brighton,Premier League,6.77
Danny Welbeck ,Attaking Midfielder,185,73,21,10,1859,6,3,0,0,2,84.7,1,2,Brighton,Premier League,6.76
Jason Steele ,Goalkeeper,188,79,15,0,1350,0,1,1,0,0,88,0.1,0,Brighton,Premier League,6.73
Evan Ferguson ,Forward,183,78,10,9,952,6,2,1,0,1.9,81.1,0.5,0,Brighton,Premier League,6.67
Lewis Dunk ,Defender,192,88,36,0,3240,1,0,4,0,0.6,90.4,1.9,0,Brighton,Premier League,6.62
Joel Veltman ,Defender,184,75,25,6,2196,1,1,6,0,0.5,85.2,0.8,0,Brighton,Premier League,6.59
Levi Colwill ,Defender,187,83,13,4,1221,0,2,1,0,0.5,88.6,2.6,0,Brighton,Premier League,6.54
Adam Webster ,Defender,191,75,23,4,1989,0,0,2,0,0.7,88.6,2.2,0,Brighton,Premier League,6.52
Adam Lallana ,Midfielder,172,73,12,4,730,2,1,0,0,0.5,83.2,0.5,0,Brighton,Premier League,6.45
Robert Sanchez ,Goalkeeper,197,90,23,0,2070,0,0,2,0,0,74.7,0.3,0,Brighton,Premier League,6.42
Enock Mwepu ,Midfielder,184,76,2,4,211,0,1,0,0,0.3,81.3,0,0,Brighton,Premier League,6.41
Jeremy Sarmiento ,Forward,178,72,1,8,169,0,1,1,0,0.6,79.7,0,0,Brighton,Premier League,6.35
Deniz Undav ,Attaking Midfielder,179,86,6,16,623,5,0,2,0,1.2,75.3,0.2,0,Brighton,Premier League,6.34
Billy Gilmour ,Defender,166,60,7,7,508,0,1,1,0,0.4,90.3,0.4,0,Brighton,Premier League,6.33
Facundo Buonanotte ,Attaking Midfielder,174,66,6,7,565,1,1,2,0,0.8,81.7,0.2,0,Brighton,Premier League,6.28
Jan Paul van Hecke ,Defender,189,79,3,5,291,0,0,2,0,0.3,93.9,0.8,0,Brighton,Premier League,6.26
Tariq Lamptey ,Defender,163,55,3,17,443,0,0,1,0,0.3,86.2,0.1,0,Brighton,Premier League,6.21
Yasin Ayari ,Midfielder,172,69,1,2,66,0,0,0,0,0.3,90.9,0,0,Brighton,Premier League,6.16
Jack Hinshelwood ,Midfielder,170,75,0,1,1,0,0,0,0,0,33.3,0,0,Brighton,Premier League,6.07
Odeluga Offiah ,Defender,181,77,0,2,23,0,0,0,0,0,79.3,0,0,Brighton,Premier League,5.98
Cameron Peupion ,Midfielder,175,76,0,1,5,0,0,0,0,1,75,1,0,Brighton,Premier League,5.85
Andy Moran ,Midfielder,177,73,0,1,11,0,0,0,0,0,50,0,0,Brighton,Premier League,5.83
Ollie Watkins ,Attaking Midfielder,180,70,36,1,3136,15,6,4,0,2.3,69.9,1.9,3,Aston Villa,Premier League,6.96
Douglas Luiz ,Midfielder,175,66,33,4,2933,6,6,6,1,0.9,86.4,0.7,3,Aston Villa,Premier League,6.93
Emiliano Martinez ,Goalkeeper,195,88,36,0,3141,0,0,7,0,0,71.6,0.4,3,Aston Villa,Premier League,6.87
Jacob Ramsey ,Attaking Midfielder,180,75,31,4,2647,6,7,5,0,0.9,83.7,0.5,1,Aston Villa,Premier League,6.86
John McGinn ,Midfielder,178,68,30,4,2698,1,3,7,0,1.2,81.5,0.6,2,Aston Villa,Premier League,6.81
Tyrone Mings ,Defender,196,77,35,0,3150,1,2,7,0,0.2,85.3,1.8,1,Aston Villa,Premier League,6.75
Alex Moreno ,Defender,179,68,14,5,1336,0,3,3,0,0.7,79.4,0.5,0,Aston Villa,Premier League,6.71
Emiliano Buendia ,Midfielder,172,72,27,11,2423,5,2,0,0,1.3,78.6,0.6,2,Aston Villa,Premier League,6.7
Robin Olsen ,Goalkeeper,198,89,2,2,280,0,0,0,0,0,52.3,0,0,Aston Villa,Premier League,6.61
Leon Bailey ,Midfielder,178,77,26,7,1984,4,4,4,0,1.5,69.2,0.7,3,Aston Villa,Premier League,6.61
Boubacar Kamara ,Defender,184,68,21,3,1779,0,1,4,0,0.2,84.9,0.9,0,Aston Villa,Premier League,6.59
Ashley Young ,Defender,175,65,23,6,2039,1,0,7,0,0.5,77.5,0.5,0,Aston Villa,Premier League,6.58
Ezri Konsa ,Defender,183,77,37,1,3323,0,0,6,0,0.2,88.9,1.5,0,Aston Villa,Premier League,6.57
Matty Cash ,Defender,185,79,20,6,1821,0,1,4,0,0.3,78.6,0.5,1,Aston Villa,Premier League,6.56
Danny Ings ,Attaking Midfielder,178,73,8,10,819,6,0,3,0,1.5,72.2,0.9,1,Aston Villa,Premier League,6.56
Lucas Digne ,Defender,178,74,18,10,1501,1,0,5,0,0.3,78.6,0.9,0,Aston Villa,Premier League,6.41
Philippe Coutinho ,Midfielder,172,68,7,13,783,1,0,3,0,1.1,78.5,0.2,0,Aston Villa,Premier League,6.37
Ludwig Augustinsson ,Defender,181,74,1,2,80,0,0,1,0,0.7,63.3,1.3,0,Aston Villa,Premier League,6.37
Bertrand Traore ,Attaking Midfielder,181,73,1,7,227,2,0,1,0,1.1,80.9,0.3,0,Aston Villa,Premier League,6.36
Jan Bednarek ,Defender,189,84,1,2,96,0,0,0,0,0,90.9,0,0,Aston Villa,Premier League,6.32
Leander Dendoncker ,Defender,188,83,7,13,690,0,0,0,0,0.1,88.2,0.5,0,Aston Villa,Premier League,6.31
Calum Chambers ,Defender,182,66,2,12,345,0,0,2,0,0.1,79.6,0.2,0,Aston Villa,Premier League,6.11
Diego Carlos ,Defender,186,79,2,1,205,0,0,0,0,1.3,79.9,2,0,Aston Villa,Premier League,6.1
Jhon Duran ,Forward,185,73,0,12,127,0,0,1,0,0.6,57.7,0.6,0,Aston Villa,Premier League,6.09
Morgan Sanson ,Midfielder,180,73,0,2,10,0,0,0,0,0,71.4,0,0,Aston Villa,Premier League,6.06
Cameron Archer ,Forward,181,72,0,6,44,0,0,0,0,0,72.7,0,0,Aston Villa,Premier League,5.99
Harry Kane ,Attaking Midfielder,188,86,38,0,3408,30,3,6,0,3.4,72,1.7,8,Tottenham,Premier League,7.51
Rodrigo Bentancur ,Midfielder,187,72,17,1,1506,5,2,8,0,0.8,85.2,0.8,1,Tottenham,Premier League,7.22
Pierre-Emile Hojbjerg ,Midfielder,187,84,35,0,3133,4,5,5,0,0.9,88.6,0.8,3,Tottenham,Premier League,7.02
Pedro Porro ,Defender,173,69,13,2,1138,3,3,0,0,1.7,75.3,0.1,1,Tottenham,Premier League,6.96
Son Heung-Min ,Midfielder,184,77,33,3,2899,10,6,2,0,2.3,82,0.3,2,Tottenham,Premier League,6.95
Cristian Romero ,Defender,185,79,26,1,2365,0,1,9,1,0.4,87.7,2.1,1,Tottenham,Premier League,6.8
Emerson Royal ,Defender,181,79,20,6,1737,2,1,2,1,0.7,83.1,1.1,1,Tottenham,Premier League,6.77
Dejan Kulusevski ,Attaking Midfielder,186,80,23,7,2079,2,7,2,0,1.4,82.5,0.1,1,Tottenham,Premier League,6.77
Ivan Perisic ,Midfielder,186,80,23,11,2112,1,8,6,0,0.9,72.3,1,1,Tottenham,Premier League,6.74
Matt Doherty ,Defender,185,80,7,5,667,1,0,0,0,0.8,82.4,1.7,0,Tottenham,Premier League,6.71
Eric Dier ,Defender,188,83,31,2,2817,2,1,3,0,0.5,85.9,2.4,1,Tottenham,Premier League,6.66
Ben Davies ,Defender,181,77,26,5,2290,2,2,4,0,0.5,83.2,2.3,0,Tottenham,Premier League,6.63
Hugo Lloris ,Goalkeeper,188,82,25,0,2206,0,0,0,0,0,73.5,0.4,0,Tottenham,Premier League,6.59
Clement Lenglet ,Defender,186,81,24,2,2027,0,2,4,0,0.5,87.5,1.7,0,Tottenham,Premier League,6.55
Matthew Craig ,Midfielder,170,75,0,1,13,0,0,0,0,0,83.3,0,0,Tottenham,Premier League,6.49
Fraser Forster ,Goalkeeper,201,93,13,1,1215,0,0,1,0,0,67.4,0.2,0,Tottenham,Premier League,6.47
Davinson Sanchez ,Defender,187,81,8,10,852,0,0,1,0,0.3,86.9,1.6,0,Tottenham,Premier League,6.47
Richarlison ,Attaking Midfielder,184,83,12,15,1008,1,3,3,0,1,72.6,0.7,1,Tottenham,Premier League,6.46
Bryan Gil ,Attaking Midfielder,175,60,2,2,148,0,1,1,0,0.5,80.7,0,0,Tottenham,Premier League,6.43
Oliver Skipp ,Defender,175,70,18,5,1499,1,0,7,0,0.3,87.1,0.3,1,Tottenham,Premier League,6.42
Ryan Sessegnon ,Defender,178,70,9,8,811,2,0,4,0,1.1,73.4,0.6,0,Tottenham,Premier League,6.4
Yves Bissouma ,Midfielder,182,80,10,13,1005,0,0,6,0,0.3,91.3,0.3,0,Tottenham,Premier League,6.29
Arnaut Danjuma ,Attaking Midfielder,178,74,1,8,163,1,0,0,0,0.7,68.5,0.1,0,Tottenham,Premier League,6.23
Japhet Tanganga ,Defender,184,76,2,2,147,0,0,0,0,0,89,1.5,0,Tottenham,Premier League,6.17
Pape Sarr ,Attaking Midfielder,185,70,2,9,213,0,1,1,0,0.2,91.6,0.3,0,Tottenham,Premier League,6.15
Harvey White ,Defender,171,60,0,1,4,0,0,0,0,0,40,1,0,Tottenham,Premier League,6.13
Lucas Moura ,Attaking Midfielder,172,72,0,15,145,1,0,0,1,0.3,74.7,0.3,0,Tottenham,Premier League,6.09
George Abbott ,Midfielder,170,75,0,1,1,0,0,0,0,0,100,0,0,Tottenham,Premier League,6
Djed Spence ,Defender,185,75,0,4,5,0,0,0,0,0.3,55.6,0.3,0,Tottenham,Premier League,6
Ivan Toney ,Forward,179,70,33,0,2955,20,4,9,0,2.8,62,3.3,5,Brentford,Premier League,7.25
Ethan Pinnock ,Defender,187,79,30,0,2700,3,0,0,0,0.5,80.2,3.5,2,Brentford,Premier League,7.11
Bryan Mbeumo ,Attaking Midfielder,173,64,36,2,2931,9,8,5,0,1.9,73.7,0.9,4,Brentford,Premier League,7.01
Ben Mee ,Defender,180,74,37,0,3272,3,2,2,0,0.8,77.1,3.6,2,Brentford,Premier League,7.01
David Raya ,Goalkeeper,183,80,38,0,3420,0,0,1,0,0,60.7,0.3,3,Brentford,Premier League,6.97
Christian Norgaard ,Defender,187,77,21,1,1771,1,3,6,0,0.9,76.3,0.8,0,Brentford,Premier League,6.9
Mathias Jensen ,Midfielder,180,68,37,0,2830,5,6,5,0,0.6,75.7,0.3,3,Brentford,Premier League,6.81
Rico Henry ,Defender,170,67,37,0,3244,0,2,4,0,0.6,75,1.1,0,Brentford,Premier League,6.64
